pokemonId,latitude,longitude,appearedLocalTime,cluster
69,52.996375,6.547970,2016-09-07T22:41:51,3
19,41.602324,-87.842121,2016-09-07T22:41:50,4
98,60.513979,4.910244,2016-09-07T22:41:50,3
96,52.996243,6.556451,2016-09-07T22:41:50,3
19,-22.921644,-43.249393,2016-09-07T22:41:47,1
43,49.158399,-123.017837,2016-09-07T22:41:41,2
118,52.998876,6.546930,2016-09-07T22:41:41,3
23,-37.573260,143.862221,2016-09-07T22:41:40,0
19,36.854777,-121.421823,2016-09-07T22:41:39,2
120,52.402254,16.920350,2016-09-07T22:41:38,3
21,47.660809,-122.296890,2016-09-07T22:41:36,2
25,36.857260,-121.426556,2016-09-07T22:41:32,2
43,38.973397,-77.529831,2016-09-07T22:41:32,4
48,52.996789,6.560293,2016-09-07T22:41:30,3
17,48.602786,7.744338,2016-09-07T22:41:30,3
13,38.972842,-77.535833,2016-09-07T22:41:29,4
46,60.399299,5.304007,2016-09-07T22:41:29,3
46,36.854884,-121.421198,2016-09-07T22:41:26,2
7,52.995572,6.560984,2016-09-07T22:41:26,3
19,52.168745,5.290100,2016-09-07T22:41:26,3
16,47.663703,-122.299675,2016-09-07T22:41:26,2
92,38.799574,-94.660979,2016-09-07T22:41:21,4
19,38.977069,-77.532608,2016-09-07T22:41:20,4
13,49.157002,-123.015845,2016-09-07T22:41:20,2
13,49.154994,-123.019609,2016-09-07T22:41:20,2
118,29.931793,-90.077195,2016-09-07T22:41:20,4
21,39.714718,-84.072857,2016-09-07T22:41:19,4
16,47.670327,-122.312392,2016-09-07T22:41:19,2
96,52.996338,6.556256,2016-09-07T22:41:19,3
72,37.599883,-122.366587,2016-09-07T22:41:18,2
98,35.536186,139.459351,2016-09-07T22:41:16,0
19,48.744827,2.409466,2016-09-07T22:41:11,3
13,49.160633,-123.016399,2016-09-07T22:41:10,2
104,35.147639,-120.650683,2016-09-07T22:41:10,2
58,36.856075,-121.421020,2016-09-07T22:41:08,2
43,29.936765,-90.073180,2016-09-07T22:41:07,4
118,48.583736,7.739699,2016-09-07T22:41:07,3
41,60.500271,4.924649,2016-09-07T22:41:06,3
37,26.234066,-98.197591,2016-09-07T22:41:06,2
13,49.254449,14.718122,2016-09-07T22:41:05,3
21,48.585449,7.755121,2016-09-07T22:41:05,3
16,38.799235,-94.661302,2016-09-07T22:41:05,4
23,35.147358,-120.648616,2016-09-07T22:41:04,2
81,40.923466,9.515425,2016-09-07T22:41:04,3
16,36.856101,-121.420930,2016-09-07T22:41:03,2
10,39.742206,-84.092499,2016-09-07T22:41:03,4
116,60.501464,4.924336,2016-09-07T22:41:01,3
19,48.602985,7.740215,2016-09-07T22:41:00,3
29,52.997402,6.546142,2016-09-07T22:41:00,3
16,48.584760,7.746679,2016-09-07T22:40:58,3
41,-37.575056,143.860524,2016-09-07T22:40:55,0
41,48.742407,2.405056,2016-09-07T22:40:55,3
41,48.743335,2.401981,2016-09-07T22:40:55,3
46,32.832258,-83.636132,2016-09-07T22:40:53,4
32,-37.574747,143.864173,2016-09-07T22:40:53,0
19,48.603385,7.743628,2016-09-07T22:40:53,3
13,39.646698,-77.700091,2016-09-07T22:40:52,4
16,39.744095,-84.087052,2016-09-07T22:40:50,4
13,40.982302,-81.304051,2016-09-07T22:40:49,4
19,60.514271,4.904767,2016-09-07T22:40:48,3
16,47.663920,-122.298169,2016-09-07T22:40:46,2
13,39.650817,-77.705905,2016-09-07T22:40:46,4
32,-22.917153,-43.254531,2016-09-07T22:40:45,1
96,52.997806,6.558680,2016-09-07T22:40:45,3
21,48.584059,7.753574,2016-09-07T22:40:45,3
19,38.854857,-77.341999,2016-09-07T22:40:43,4
16,48.603352,7.740607,2016-09-07T22:40:40,3
